lemma,pos,verdict,nT,nF,n_syn,n_clusters,lexfiles
stay,V,HOMONYM_CAND,5,18,11,10,verb.change|verb.consumption|verb.contact|verb.motion|verb.social|verb.stative
light,N,HOMONYM_CAND,7,16,15,2,noun.artifact|noun.attribute|noun.cognition|noun.communication|noun.location|noun.motive|noun.person|noun.phenomenon|noun.state
admit,V,HOMONYM_CAND,17,5,8,7,verb.communication|verb.possession|verb.social|verb.stative
check,V,HOMONYM_CAND,11,10,25,22,verb.change|verb.cognition|verb.communication|verb.competition|verb.creation|verb.motion|verb.possession|verb.social|verb.stative
call,V,HOMONYM_CAND,3,18,28,14,verb.body|verb.cognition|verb.communication|verb.motion|verb.possession|verb.social|verb.stative
end,N,HOMONYM_CAND,6,14,14,2,noun.act|noun.artifact|noun.cognition|noun.communication|noun.event|noun.location|noun.person|noun.state|noun.time
follow,V,HOMONYM_CAND,3,17,24,22,verb.change|verb.cognition|verb.creation|verb.motion|verb.perception|verb.possession|verb.social|verb.stative
day,N,HOMONYM_CAND,18,2,10,2,noun.person|noun.state|noun.time
wall,N,HOMONYM_CAND,10,9,8,2,noun.artifact|noun.body|noun.object|noun.state
mean,V,HOMONYM_CAND,11,8,7,7,verb.cognition|verb.communication|verb.stative
unit,N,HOMONYM_CAND,10,9,6,2,noun.Tops|noun.cognition|noun.group|noun.object|noun.quantity|noun.relation
set,V,HOMONYM_CAND,2,16,25,20,verb.body|verb.change|verb.cognition|verb.communication|verb.competition|verb.contact|verb.creation|verb.motion
touch,V,HOMONYM_CAND,4,14,15,15,verb.change|verb.cognition|verb.communication|verb.consumption|verb.contact|verb.emotion|verb.perception|verb.social|verb.stative
finish,N,HOMONYM_CAND,8,10,9,2,noun.act|noun.attribute|noun.cognition|noun.event|noun.location|noun.state|noun.time
develop,V,HOMONYM_CAND,3,15,21,20,verb.body|verb.change|verb.cognition|verb.communication|verb.competition|verb.contact|verb.creation|verb.perception|verb.stative
floor,N,HOMONYM_CAND,12,6,10,2,noun.artifact|noun.attribute|noun.communication|noun.group|noun.object
foot,N,HOMONYM_CAND,9,9,11,2,noun.act|noun.animal|noun.artifact|noun.body|noun.communication|noun.group|noun.location|noun.person|noun.quantity
field,N,HOMONYM_CAND,10,8,17,2,noun.act|noun.artifact|noun.cognition|noun.group|noun.location|noun.object|noun.phenomenon|noun.state
number,N,HOMONYM_CAND,4,12,11,2,noun.artifact|noun.attribute|noun.communication|noun.group|noun.quantity
throw,V,HOMONYM_CAND,0,16,15,14,verb.cognition|verb.communication|verb.contact|verb.creation|verb.emotion|verb.motion
block,V,HOMONYM_CAND,6,10,16,13,verb.change|verb.cognition|verb.communication|verb.competition|verb.contact|verb.perception|verb.social
stretch,V,HOMONYM_CAND,5,11,11,9,verb.body|verb.change|verb.contact|verb.motion|verb.stative
charge,V,HOMONYM_CAND,3,13,25,20,verb.change|verb.cognition|verb.communication|verb.competition|verb.contact|verb.creation|verb.emotion|verb.motion|verb.possession|verb.social
do,V,HOMONYM_CAND,4,11,13,12,verb.body|verb.creation|verb.motion|verb.social|verb.stative
dress,V,HOMONYM_CAND,9,6,16,12,verb.body|verb.change|verb.contact|verb.creation|verb.motion
voice,N,HOMONYM_CAND,8,7,11,2,noun.act|noun.attribute|noun.communication|noun.event|noun.person|noun.relation
action,N,HOMONYM_CAND,5,9,10,2,noun.act|noun.artifact|noun.attribute|noun.communication|noun.process|noun.state
body,N,HOMONYM_CAND,7,7,11,2,noun.artifact|noun.attribute|noun.body|noun.communication|noun.group|noun.object
way,N,HOMONYM_CAND,4,10,12,2,noun.act|noun.artifact|noun.attribute|noun.cognition|noun.location|noun.possession|noun.quantity|noun.state
hand,N,HOMONYM_CAND,3,11,14,2,noun.act|noun.animal|noun.artifact|noun.body|noun.cognition|noun.communication|noun.group|noun.location|noun.person|noun.quantity
piece,N,HOMONYM_CAND,1,13,13,2,noun.artifact|noun.attribute|noun.communication|noun.event|noun.food|noun.object|noun.possession|noun.time
roll,V,HOMONYM_CAND,3,11,18,17,verb.body|verb.change|verb.communication|verb.contact|verb.motion|verb.perception|verb.possession|verb.stative
run,N,HOMONYM_CAND,10,4,16,2,noun.act|noun.attribute|noun.event|noun.group|noun.object|noun.quantity|noun.state|noun.time
call,N,HOMONYM_CAND,7,7,13,2,noun.act|noun.cognition|noun.communication
feel,V,HOMONYM_CAND,6,8,13,12,verb.body|verb.cognition|verb.contact|verb.emotion|verb.perception|verb.possession|verb.stative
case,N,HOMONYM_CAND,1,13,20,2,noun.act|noun.artifact|noun.body|noun.cognition|noun.communication|noun.event|noun.person|noun.quantity|noun.state
operation,N,HOMONYM_CAND,8,6,11,2,noun.act|noun.cognition|noun.process|noun.state
stand,V,HOMONYM_CAND,8,5,12,11,verb.cognition|verb.competition|verb.contact|verb.stative
start,V,HOMONYM_CAND,3,10,14,14,verb.change|verb.competition|verb.creation|verb.motion|verb.social|verb.stative
breath,N,HOMONYM_CAND,7,5,5,2,noun.act|noun.communication|noun.phenomenon|noun.substance|noun.time
gather,V,HOMONYM_CAND,7,5,9,8,verb.change|verb.communication|verb.contact|verb.social
drop,N,HOMONYM_CAND,7,5,9,2,noun.act|noun.artifact|noun.attribute|noun.event|noun.location|noun.object|noun.quantity|noun.shape
part,N,HOMONYM_CAND,6,6,12,2,noun.act|noun.artifact|noun.body|noun.cognition|noun.communication|noun.location|noun.object|noun.possession|noun.relation
rest,N,HOMONYM_CAND,7,5,7,2,noun.act|noun.artifact|noun.communication|noun.relation|noun.state|noun.time
reaction,N,HOMONYM_CAND,7,5,7,2,noun.act|noun.cognition|noun.phenomenon|noun.process
sign,N,HOMONYM_CAND,10,2,11,2,noun.artifact|noun.communication|noun.event|noun.location|noun.relation|noun.state
set,N,HOMONYM_CAND,5,7,13,2,noun.act|noun.artifact|noun.cognition|noun.event|noun.group|noun.person|noun.process|noun.time
answer,V,HOMONYM_CAND,8,3,10,7,verb.cognition|verb.communication|verb.consumption|verb.stative
recognition,N,HOMONYM_CAND,3,8,8,2,noun.act|noun.cognition|noun.communication|noun.phenomenon|noun.state
wash,V,HOMONYM_CAND,7,4,13,12,verb.body|verb.change|verb.contact|verb.motion|verb.stative
course,N,HOMONYM_CAND,3,8,9,2,noun.act|noun.artifact|noun.food|noun.group|noun.location|noun.object
tell,V,HOMONYM_CAND,7,4,8,5,verb.cognition|verb.communication
read,V,HOMONYM_CAND,8,3,11,8,verb.cognition|verb.communication|verb.creation|verb.stative
extend,V,HOMONYM_CAND,1,10,17,13,verb.body|verb.change|verb.consumption|verb.contact|verb.motion|verb.possession|verb.stative
pull,N,HOMONYM_CAND,7,4,7,2,noun.act|noun.artifact|noun.attribute|noun.phenomenon|noun.state
snap,V,HOMONYM_CAND,4,7,13,12,verb.change|verb.communication|verb.contact|verb.emotion|verb.motion|verb.perception
ball,N,HOMONYM_CAND,6,5,12,2,noun.act|noun.artifact|noun.body|noun.event|noun.group|noun.person|noun.shape
school,N,HOMONYM_CAND,5,5,7,2,noun.artifact|noun.cognition|noun.group|noun.time
lift,V,HOMONYM_CAND,4,6,24,21,verb.body|verb.change|verb.communication|verb.contact|verb.motion|verb.possession|verb.stative
top,N,HOMONYM_CAND,4,6,11,2,noun.artifact|noun.attribute|noun.location|noun.state|noun.time
thing,N,HOMONYM_CAND,4,6,12,3,noun.Tops|noun.act|noun.artifact|noun.attribute|noun.cognition|noun.communication|noun.event|noun.feeling|noun.state
move,V,HOMONYM_CAND,4,6,16,16,verb.body|verb.change|verb.communication|verb.competition|verb.creation|verb.emotion|verb.motion|verb.possession|verb.social
pack,V,HOMONYM_CAND,5,5,13,12,verb.body|verb.contact|verb.motion|verb.social|verb.stative
baby,N,HOMONYM_CAND,5,5,7,2,noun.act|noun.animal|noun.person
bear,V,HOMONYM_CAND,4,6,13,12,verb.body|verb.cognition|verb.contact|verb.creation|verb.possession|verb.social|verb.stative
authority,N,HOMONYM_CAND,4,6,7,2,noun.attribute|noun.cognition|noun.communication|noun.group|noun.person
post,N,HOMONYM_CAND,6,4,11,2,noun.act|noun.artifact|noun.communication|noun.group|noun.location|noun.person
support,N,HOMONYM_CAND,4,6,11,2,noun.act|noun.artifact|noun.cognition|noun.communication|noun.possession
academy,N,HOMONYM_CAND,0,9,4,2,noun.artifact|noun.group
shock,N,HOMONYM_CAND,1,8,10,2,noun.act|noun.artifact|noun.event|noun.feeling|noun.group|noun.state
seat,N,HOMONYM_CAND,5,4,9,2,noun.artifact|noun.attribute|noun.body|noun.location
spring,N,HOMONYM_CAND,8,1,6,2,noun.act|noun.artifact|noun.attribute|noun.location|noun.object|noun.time
focus,V,HOMONYM_CAND,9,0,5,5,verb.change|verb.cognition|verb.perception
check,N,HOMONYM_CAND,2,7,13,2,noun.act|noun.artifact|noun.attribute|noun.cognition|noun.communication|noun.possession|noun.state
treat,V,HOMONYM_CAND,4,5,8,6,verb.body|verb.change|verb.cognition|verb.communication|verb.consumption|verb.possession|verb.social
change,N,HOMONYM_CAND,4,5,10,3,noun.act|noun.artifact|noun.attribute|noun.event|noun.phenomenon|noun.possession|noun.relation
chain,N,HOMONYM_CAND,9,0,10,2,noun.artifact|noun.group|noun.object|noun.person|noun.quantity
range,N,HOMONYM_CAND,5,4,9,2,noun.artifact|noun.attribute|noun.cognition|noun.group|noun.location|noun.object
third,N,HOMONYM_CAND,5,4,6,2,noun.act|noun.artifact|noun.communication|noun.quantity|noun.relation
serve,V,HOMONYM_CAND,6,3,15,13,verb.competition|verb.consumption|verb.contact|verb.social|verb.stative
movement,N,HOMONYM_CAND,1,8,11,2,noun.act|noun.artifact|noun.cognition|noun.communication|noun.event|noun.group|noun.phenomenon|noun.process
block,N,HOMONYM_CAND,5,4,12,2,noun.act|noun.artifact|noun.cognition|noun.group|noun.location|noun.quantity|noun.shape
think,V,HOMONYM_CAND,8,1,13,11,verb.change|verb.cognition|verb.creation
spread,V,HOMONYM_CAND,4,5,10,10,verb.communication|verb.contact|verb.motion|verb.stative
approach,V,HOMONYM_CAND,7,2,5,3,verb.communication|verb.motion|verb.social|verb.stative
drop,V,HOMONYM_CAND,1,8,23,22,verb.body|verb.change|verb.cognition|verb.communication|verb.competition|verb.consumption|verb.contact|verb.motion|verb.possession|verb.social|verb.stative
connection,N,HOMONYM_CAND,4,5,9,2,noun.act|noun.artifact|noun.cognition|noun.person|noun.relation|noun.shape|noun.state
house,N,HOMONYM_CAND,4,4,12,2,noun.act|noun.artifact|noun.group|noun.location
return,N,HOMONYM_CAND,1,7,13,2,noun.act|noun.artifact|noun.communication|noun.event|noun.possession
remember,V,HOMONYM_CAND,6,2,8,6,verb.cognition|verb.communication|verb.possession
land,N,HOMONYM_CAND,2,6,11,2,noun.act|noun.group|noun.location|noun.object|noun.person|noun.possession|noun.state
date,N,HOMONYM_CAND,5,3,8,2,noun.food|noun.group|noun.person|noun.time
communicate,V,HOMONYM_CAND,6,2,7,4,verb.communication|verb.contact|verb.possession
book,N,HOMONYM_CAND,4,4,11,2,noun.artifact|noun.communication|noun.group|noun.possession
sex,N,HOMONYM_CAND,8,0,4,2,noun.act|noun.attribute|noun.feeling|noun.group
say,V,HOMONYM_CAND,4,4,11,10,verb.communication|verb.stative
scene,N,HOMONYM_CAND,4,4,10,2,noun.artifact|noun.cognition|noun.communication|noun.event|noun.location|noun.state
clear,V,HOMONYM_CAND,1,7,24,21,verb.change|verb.cognition|verb.communication|verb.motion|verb.perception|verb.possession|verb.social|verb.weather
development,N,HOMONYM_CAND,4,4,9,2,noun.act|noun.communication|noun.event|noun.location|noun.process|noun.state
stage,N,HOMONYM_CAND,1,7,8,2,noun.act|noun.artifact|noun.communication|noun.location|noun.state|noun.time
burn,V,HOMONYM_CAND,3,5,15,14,verb.body|verb.change|verb.consumption|verb.creation|verb.emotion|verb.perception|verb.possession|verb.social|verb.weather
care,V,HOMONYM_CAND,7,1,5,5,verb.emotion|verb.social
find,V,HOMONYM_CAND,3,5,16,16,verb.change|verb.cognition|verb.communication|verb.creation|verb.motion|verb.perception|verb.possession
application,N,HOMONYM_CAND,4,4,7,2,noun.act|noun.artifact|noun.communication
save,V,HOMONYM_CAND,4,4,11,10,verb.change|verb.communication|verb.possession|verb.social
key,N,HOMONYM_CAND,4,4,15,2,noun.artifact|noun.attribute|noun.cognition|noun.communication|noun.location|noun.object|noun.person|noun.plant|noun.quantity
home,N,HOMONYM_CAND,6,2,9,2,noun.artifact|noun.group|noun.location|noun.state
point,V,HOMONYM_CAND,0,8,14,9,verb.change|verb.communication|verb.competition|verb.contact|verb.motion|verb.stative
system,N,HOMONYM_CAND,3,5,9,2,noun.artifact|noun.attribute|noun.body|noun.cognition|noun.group|noun.substance
avoid,V,HOMONYM_CAND,7,0,5,5,verb.communication|verb.consumption|verb.social
shift,V,HOMONYM_CAND,3,4,13,13,verb.change|verb.communication|verb.motion
scale,N,HOMONYM_CAND,7,0,10,2,noun.animal|noun.artifact|noun.communication|noun.object|noun.plant|noun.relation
bit,N,HOMONYM_CAND,2,5,11,2,noun.artifact|noun.communication|noun.event|noun.food|noun.object|noun.quantity|noun.time
drag,N,HOMONYM_CAND,4,3,6,2,noun.act|noun.artifact|noun.attribute|noun.cognition|noun.phenomenon
ride,V,HOMONYM_CAND,1,6,14,14,verb.communication|verb.contact|verb.motion|verb.stative
work,N,HOMONYM_CAND,4,3,7,2,noun.act|noun.artifact|noun.cognition|noun.phenomenon
stick,V,HOMONYM_CAND,1,6,16,12,verb.cognition|verb.communication|verb.contact|verb.creation|verb.motion|verb.stative
rub,V,HOMONYM_CAND,7,0,3,3,verb.contact|verb.perception
section,N,HOMONYM_CAND,0,7,14,2,noun.act|noun.artifact|noun.cognition|noun.communication|noun.food|noun.group|noun.location|noun.object|noun.quantity
center,N,HOMONYM_CAND,1,6,18,2,noun.act|noun.artifact|noun.body|noun.cognition|noun.food|noun.group|noun.location|noun.person
put,V,HOMONYM_CAND,3,4,9,9,verb.cognition|verb.communication|verb.consumption|verb.contact|verb.creation|verb.perception|verb.possession
begin,V,HOMONYM_CAND,1,6,10,10,verb.change|verb.communication|verb.social|verb.stative
render,V,HOMONYM_CAND,2,5,13,11,verb.change|verb.communication|verb.contact|verb.creation|verb.possession
round,N,HOMONYM_CAND,1,6,14,2,noun.act|noun.artifact|noun.communication|noun.food|noun.location|noun.object|noun.time
grow,V,HOMONYM_CAND,6,1,10,8,verb.body|verb.change|verb.creation|verb.stative
love,N,HOMONYM_CAND,4,3,6,2,noun.act|noun.cognition|noun.feeling|noun.person|noun.quantity
blow,V,HOMONYM_CAND,1,6,22,20,verb.body|verb.change|verb.communication|verb.contact|verb.motion|verb.perception|verb.possession|verb.social|verb.weather
shake,V,HOMONYM_CAND,1,6,9,9,verb.body|verb.change|verb.communication|verb.emotion|verb.motion
back,V,HOMONYM_CAND,5,2,10,10,verb.change|verb.competition|verb.motion|verb.possession|verb.social|verb.stative
origin,N,HOMONYM_CAND,6,1,6,2,noun.attribute|noun.cognition|noun.event|noun.group|noun.location|noun.process
court,N,HOMONYM_CAND,2,5,11,2,noun.act|noun.artifact|noun.group|noun.person
act,V,HOMONYM_CAND,4,3,10,9,verb.body|verb.competition|verb.creation|verb.social|verb.stative
remove,V,HOMONYM_CAND,5,2,8,8,verb.change|verb.motion|verb.possession|verb.social
shoot,V,HOMONYM_CAND,4,3,20,18,verb.body|verb.change|verb.cognition|verb.communication|verb.competition|verb.consumption|verb.contact|verb.motion|verb.perception|verb.social|verb.weather
game,N,HOMONYM_CAND,4,3,11,2,noun.act|noun.animal|noun.artifact|noun.cognition|noun.food|noun.quantity|noun.time
loss,N,HOMONYM_CAND,3,4,8,2,noun.act|noun.attribute|noun.event|noun.possession|noun.process
death,N,HOMONYM_CAND,1,5,8,2,noun.act|noun.event|noun.person|noun.phenomenon|noun.state|noun.time
apply,V,HOMONYM_CAND,4,2,10,10,verb.communication|verb.consumption|verb.contact|verb.possession|verb.social|verb.stative
position,N,HOMONYM_CAND,2,4,16,2,noun.act|noun.attribute|noun.cognition|noun.communication|noun.location|noun.state
fire,V,HOMONYM_CAND,2,4,9,9,verb.change|verb.competition|verb.emotion|verb.motion|verb.possession|verb.social
drill,V,HOMONYM_CAND,6,0,5,4,verb.cognition|verb.contact
replace,V,HOMONYM_CAND,4,2,4,4,verb.change|verb.contact|verb.possession|verb.social
lie,V,HOMONYM_CAND,0,6,7,7,verb.communication|verb.contact|verb.motion|verb.stative
art,N,HOMONYM_CAND,3,3,4,2,noun.act|noun.artifact|noun.cognition|noun.communication
figure,N,HOMONYM_CAND,3,3,13,2,noun.act|noun.artifact|noun.attribute|noun.body|noun.cognition|noun.communication|noun.person|noun.possession|noun.quantity|noun.shape
job,N,HOMONYM_CAND,5,1,13,2,noun.act|noun.artifact|noun.communication|noun.person|noun.state
control,N,HOMONYM_CAND,2,4,11,2,noun.act|noun.artifact|noun.attribute|noun.cognition|noun.communication|noun.person|noun.relation|noun.state
suffer,V,HOMONYM_CAND,4,2,11,8,verb.body|verb.change|verb.cognition|verb.emotion|verb.perception|verb.stative
beg,V,HOMONYM_CAND,5,1,4,2,verb.communication|verb.possession
area,N,HOMONYM_CAND,4,2,6,2,noun.artifact|noun.attribute|noun.body|noun.cognition|noun.location|noun.state
period,N,HOMONYM_CAND,4,2,7,2,noun.communication|noun.process|noun.time
softness,N,HOMONYM_CAND,1,5,10,2,noun.attribute|noun.state
classify,V,HOMONYM_CAND,6,0,3,3,verb.cognition|verb.social
grip,N,HOMONYM_CAND,4,2,7,2,noun.act|noun.artifact|noun.attribute|noun.person|noun.phenomenon
buy,V,HOMONYM_CAND,3,3,5,5,verb.cognition|verb.possession|verb.stative
presence,N,HOMONYM_CAND,1,5,6,2,noun.act|noun.attribute|noun.cognition|noun.location|noun.person|noun.state
train,N,HOMONYM_CAND,1,5,6,2,noun.artifact|noun.event|noun.group
pick,V,HOMONYM_CAND,2,4,12,12,verb.change|verb.cognition|verb.communication|verb.consumption|verb.contact|verb.creation|verb.possession
kill,V,HOMONYM_CAND,1,5,15,14,verb.change|verb.consumption|verb.contact|verb.emotion|verb.perception|verb.social|verb.stative
discover,V,HOMONYM_CAND,6,0,8,8,verb.cognition|verb.communication|verb.creation|verb.perception|verb.possession
match,V,HOMONYM_CAND,1,5,10,9,verb.change|verb.competition|verb.contact|verb.possession|verb.social|verb.stative
corner,N,HOMONYM_CAND,2,4,11,2,noun.artifact|noun.location|noun.object|noun.shape|noun.state
luck,N,HOMONYM_CAND,5,1,3,2,noun.phenomenon|noun.state
right,N,HOMONYM_CAND,3,3,8,2,noun.act|noun.artifact|noun.attribute|noun.body|noun.group|noun.location|noun.possession
close,V,HOMONYM_CAND,3,3,17,14,verb.change|verb.communication|verb.contact|verb.motion|verb.perception|verb.social|verb.stative
help,V,HOMONYM_CAND,4,2,8,7,verb.body|verb.change|verb.consumption|verb.social|verb.stative
formation,N,HOMONYM_CAND,4,2,7,2,noun.act|noun.artifact|noun.group|noun.object|noun.process
shower,N,HOMONYM_CAND,1,5,6,2,noun.act|noun.artifact|noun.event|noun.group|noun.person|noun.phenomenon
direction,N,HOMONYM_CAND,1,5,9,2,noun.act|noun.cognition|noun.communication|noun.location|noun.relation
dig,V,HOMONYM_CAND,4,2,8,7,verb.cognition|verb.contact|verb.motion|verb.perception|verb.social
back,N,HOMONYM_CAND,2,4,9,2,noun.act|noun.artifact|noun.body|noun.location|noun.person
image,N,HOMONYM_CAND,3,3,9,2,noun.artifact|noun.attribute|noun.cognition|noun.communication|noun.group|noun.person
arouse,V,HOMONYM_CAND,6,0,7,6,verb.body|verb.creation|verb.emotion|verb.motion
bake,V,HOMONYM_CAND,5,1,4,4,verb.change|verb.creation|verb.stative
fix,V,HOMONYM_CAND,0,5,12,10,verb.body|verb.change|verb.communication|verb.competition|verb.contact|verb.creation|verb.social
accept,V,HOMONYM_CAND,2,3,11,7,verb.cognition|verb.communication|verb.possession|verb.stative
contact,N,HOMONYM_CAND,1,4,9,2,noun.act|noun.artifact|noun.communication|noun.event|noun.person|noun.state
land,V,HOMONYM_CAND,4,1,7,7,verb.change|verb.motion|verb.possession
room,N,HOMONYM_CAND,4,1,4,2,noun.artifact|noun.group|noun.quantity|noun.state
open,V,HOMONYM_CAND,1,4,11,11,verb.change|verb.competition|verb.contact|verb.perception|verb.possession|verb.social|verb.stative
swing,V,HOMONYM_CAND,1,4,13,13,verb.change|verb.competition|verb.contact|verb.creation|verb.motion|verb.social|verb.stative
form,N,HOMONYM_CAND,2,3,16,2,noun.Tops|noun.artifact|noun.attribute|noun.body|noun.cognition|noun.communication|noun.group|noun.state
party,N,HOMONYM_CAND,2,3,5,2,noun.event|noun.group|noun.person
tap,V,HOMONYM_CAND,3,2,12,12,verb.communication|verb.consumption|verb.contact|verb.motion|verb.perception|verb.possession
press,V,HOMONYM_CAND,1,4,14,12,verb.communication|verb.competition|verb.contact|verb.creation|verb.motion|verb.social|verb.stative
bank,N,HOMONYM_CAND,0,5,10,2,noun.act|noun.artifact|noun.group|noun.object|noun.possession
production,N,HOMONYM_CAND,2,3,8,2,noun.act|noun.artifact|noun.communication|noun.quantity
trim,V,HOMONYM_CAND,1,4,9,6,verb.change|verb.contact|verb.creation|verb.stative
acknowledge,V,HOMONYM_CAND,3,2,6,4,verb.cognition|verb.communication
slot,N,HOMONYM_CAND,1,4,7,2,noun.artifact|noun.communication|noun.object|noun.state|noun.time
flight,N,HOMONYM_CAND,3,2,9,2,noun.act|noun.artifact|noun.cognition|noun.group|noun.phenomenon
receive,V,HOMONYM_CAND,2,3,13,12,verb.change|verb.cognition|verb.communication|verb.consumption|verb.contact|verb.perception|verb.possession|verb.social|verb.stative
trend,N,HOMONYM_CAND,2,3,4,2,noun.cognition|noun.location
lot,N,HOMONYM_CAND,1,4,7,2,noun.artifact|noun.group|noun.location|noun.person|noun.quantity|noun.state
