item_id,verb,category,form,subject,sentence,nli_hypothesis,nli_gold,fc_gold,affirm_correct
snack-ctrl-motion,snack,activity,ctrl-motion,Tara,"Tara wandered through the food court, snacking.",Tara moved from one place to another.,0,YES,1
wait-way,wait,anti-motion,way,Felix,Felix waited his way up the queue.,Felix moved from one place to another.,0,YES,1
wait-ctrl-loc,wait,anti-motion,ctrl-loc,Felix,Felix waited in the queue.,Felix moved from one place to another.,1,CANT_TELL,0
wait-ctrl-motion,wait,anti-motion,ctrl-motion,Felix,"Felix edged up the queue, waiting.",Felix moved from one place to another.,0,YES,1
rest-way,rest,anti-motion,way,Pavel,Pavel rested his way up the mountain.,Pavel moved from one place to another.,0,YES,1
rest-ctrl-loc,rest,anti-motion,ctrl-loc,Pavel,Pavel rested on the mountain.,Pavel moved from one place to another.,1,CANT_TELL,0
rest-ctrl-motion,rest,anti-motion,ctrl-motion,Pavel,"Pavel climbed up the mountain, resting.",Pavel moved from one place to another.,0,YES,1
kneel-way,kneel,anti-motion,way,Raj,Raj knelt his way along the pew.,Raj moved from one place to another.,0,YES,1
kneel-ctrl-loc,kneel,anti-motion,ctrl-loc,Raj,Raj knelt at the pew.,Raj moved from one place to another.,1,CANT_TELL,0
kneel-ctrl-motion,kneel,anti-motion,ctrl-motion,Raj,"Raj shuffled along the pew, kneeling.",Raj moved from one place to another.,0,YES,1
crouch-way,crouch,anti-motion,way,Cora,Cora crouched her way through the tunnel.,Cora moved from one place to another.,0,YES,1
crouch-ctrl-loc,crouch,anti-motion,ctrl-loc,Cora,Cora crouched in the tunnel.,Cora moved from one place to another.,1,CANT_TELL,0
crouch-ctrl-motion,crouch,anti-motion,ctrl-motion,Cora,"Cora crept through the tunnel, crouching.",Cora moved from one place to another.,0,YES,1
pause-way,pause,anti-motion,way,Ines,Ines paused her way down the hallway.,Ines moved from one place to another.,0,YES,1
pause-ctrl-loc,pause,anti-motion,ctrl-loc,Ines,Ines paused in the hallway.,Ines moved from one place to another.,1,CANT_TELL,0
pause-ctrl-motion,pause,anti-motion,ctrl-motion,Ines,"Ines walked down the hallway, pausing.",Ines moved from one place to another.,0,YES,1
linger-way,linger,anti-motion,way,Wendy,Wendy lingered her way through the museum.,Wendy moved from one place to another.,0,YES,1
linger-ctrl-loc,linger,anti-motion,ctrl-loc,Wendy,Wendy lingered in the museum.,Wendy moved from one place to another.,1,CANT_TELL,0
linger-ctrl-motion,linger,anti-motion,ctrl-motion,Wendy,"Wendy wandered through the museum, lingering.",Wendy moved from one place to another.,0,YES,1
talk-idiomatic,talk,idiomatic,idiomatic,Elena,Elena talked her way out of trouble.,Elena moved from one place to another.,1,CANT_TELL,0
work-idiomatic,work,idiomatic,idiomatic,Marcus,Marcus worked his way up the company.,Marcus moved from one place to another.,1,CANT_TELL,0
find-idiomatic,find,idiomatic,idiomatic,Dora,Dora found her way around the new software.,Dora moved from one place to another.,1,CANT_TELL,0
lose-idiomatic,lose,idiomatic,idiomatic,Daniel,Daniel lost his way in his career.,Daniel moved from one place to another.,1,CANT_TELL,0
argue-idiomatic,argue,idiomatic,idiomatic,the partners,The partners argued their way to a compromise.,The partners moved from one place to another.,1,CANT_TELL,0
scheme-idiomatic,scheme,idiomatic,idiomatic,Vera,Vera schemed her way into politics.,Vera moved from one place to another.,1,CANT_TELL,0
