item_id,scale_pair,typicality,form,dim1,dim2,sentence,fc_gold,nli_hypothesis,nli_gold
music-cc-positive,music,typical,cc-positive,the loudness of the music,the diners' eating speed,"The louder the music, the faster the diners ate.",increase,"As the loudness of the music increases, the diners' eating speed increases.",0
music-cc-inverse,music,typical,cc-inverse,the loudness of the music,the diners' eating speed,"The louder the music, the slower the diners ate.",decrease,"As the loudness of the music increases, the diners' eating speed increases.",2
music-ctrl-two,music,typical,ctrl-two,the loudness of the music,the diners' eating speed,The music was loud. The diners ate fast.,undetermined,"As the loudness of the music increases, the diners' eating speed increases.",1
music-ctrl-single,music,typical,ctrl-single,the loudness of the music,the diners' eating speed,The music was louder than usual.,undetermined,"As the loudness of the music increases, the diners' eating speed increases.",1
trail-cc-positive,trail,typical,cc-positive,the steepness of the trail,the number of hikers attempting it,"The steeper the trail, the more hikers attempted it.",increase,"As the steepness of the trail increases, the number of hikers attempting it increases.",0
trail-cc-inverse,trail,typical,cc-inverse,the steepness of the trail,the number of hikers attempting it,"The steeper the trail, the fewer hikers attempted it.",decrease,"As the steepness of the trail increases, the number of hikers attempting it increases.",2
trail-ctrl-two,trail,typical,ctrl-two,the steepness of the trail,the number of hikers attempting it,The trail was steep. Many hikers attempted it.,undetermined,"As the steepness of the trail increases, the number of hikers attempting it increases.",1
trail-ctrl-single,trail,typical,ctrl-single,the steepness of the trail,the number of hikers attempting it,The trail was steeper than the map suggested.,undetermined,"As the steepness of the trail increases, the number of hikers attempting it increases.",1
queue-cc-positive,queue,typical,cc-positive,the length of the queue,the customers' anger,"The longer the queue, the angrier the customers grew.",increase,"As the length of the queue increases, the customers' anger increases.",0
queue-cc-inverse,queue,typical,cc-inverse,the length of the queue,the customers' anger,"The longer the queue, the calmer the customers grew.",decrease,"As the length of the queue increases, the customers' anger increases.",2
queue-ctrl-two,queue,typical,ctrl-two,the length of the queue,the customers' anger,The queue was long. The customers were angry.,undetermined,"As the length of the queue increases, the customers' anger increases.",1
queue-ctrl-single,queue,typical,ctrl-single,the length of the queue,the customers' anger,The queue was longer than yesterday.,undetermined,"As the length of the queue increases, the customers' anger increases.",1
class-cc-positive,class,typical,cc-positive,the size of the class,the test scores,"The larger the class, the higher the test scores rose.",increase,"As the size of the class increases, the test scores increases.",0
class-cc-inverse,class,typical,cc-inverse,the size of the class,the test scores,"The larger the class, the lower the test scores rose.",decrease,"As the size of the class increases, the test scores increases.",2
class-ctrl-two,class,typical,ctrl-two,the size of the class,the test scores,The class was large. The test scores were high.,undetermined,"As the size of the class increases, the test scores increases.",1
class-ctrl-single,class,typical,ctrl-single,the size of the class,the test scores,The class was larger than the year before.,undetermined,"As the size of the class increases, the test scores increases.",1
dish-cc-positive,dish,typical,cc-positive,the spiciness of the dish,the size of the tip,"The spicier the dish, the bigger the tip became.",increase,"As the spiciness of the dish increases, the size of the tip increases.",0
dish-cc-inverse,dish,typical,cc-inverse,the spiciness of the dish,the size of the tip,"The spicier the dish, the smaller the tip became.",decrease,"As the spiciness of the dish increases, the size of the tip increases.",2
dish-ctrl-two,dish,typical,ctrl-two,the spiciness of the dish,the size of the tip,The dish was spicy. The tip was big.,undetermined,"As the spiciness of the dish increases, the size of the tip increases.",1
dish-ctrl-single,dish,typical,ctrl-single,the spiciness of the dish,the size of the tip,The dish was spicier than expected.,undetermined,"As the spiciness of the dish increases, the size of the tip increases.",1
phone-cc-positive,phone,typical,cc-positive,the newness of the phone,how long the battery lasted,"The newer the phone, the longer the battery lasted.",increase,"As the newness of the phone increases, how long the battery lasted increases.",0
phone-cc-inverse,phone,typical,cc-inverse,the newness of the phone,how long the battery lasted,"The newer the phone, the shorter the battery lasted.",decrease,"As the newness of the phone increases, how long the battery lasted increases.",2
phone-ctrl-two,phone,typical,ctrl-two,the newness of the phone,how long the battery lasted,The phone was new. The battery lasted long.,undetermined,"As the newness of the phone increases, how long the battery lasted increases.",1
phone-ctrl-single,phone,typical,ctrl-single,the newness of the phone,how long the battery lasted,The phone was newer than the last model.,undetermined,"As the newness of the phone increases, how long the battery lasted increases.",1
roast-cc-positive,roast,typical,cc-positive,the darkness of the roast,the blend's popularity,"The darker the roast, the more popular the blend became.",increase,"As the darkness of the roast increases, the blend's popularity increases.",0
roast-cc-inverse,roast,typical,cc-inverse,the darkness of the roast,the blend's popularity,"The darker the roast, the less popular the blend became.",decrease,"As the darkness of the roast increases, the blend's popularity increases.",2
roast-ctrl-two,roast,typical,ctrl-two,the darkness of the roast,the blend's popularity,The roast was dark. The blend was popular.,undetermined,"As the darkness of the roast increases, the blend's popularity increases.",1
roast-ctrl-single,roast,typical,ctrl-single,the darkness of the roast,the blend's popularity,The roast was darker than the house blend.,undetermined,"As the darkness of the roast increases, the blend's popularity increases.",1
river-cc-positive,river,typical,cc-positive,the river's depth,the ferry's speed,"The deeper the river, the faster the ferry crossed.",increase,"As the river's depth increases, the ferry's speed increases.",0
river-cc-inverse,river,typical,cc-inverse,the river's depth,the ferry's speed,"The deeper the river, the slower the ferry crossed.",decrease,"As the river's depth increases, the ferry's speed increases.",2
river-ctrl-two,river,typical,ctrl-two,the river's depth,the ferry's speed,The river was deep. The ferry crossed fast.,undetermined,"As the river's depth increases, the ferry's speed increases.",1
river-ctrl-single,river,typical,ctrl-single,the river's depth,the ferry's speed,The river was deeper than in spring.,undetermined,"As the river's depth increases, the ferry's speed increases.",1
garden-cc-positive,garden,typical,cc-positive,the garden's size,the gardener's pay,"The bigger the garden, the higher the gardener's pay went.",increase,"As the garden's size increases, the gardener's pay increases.",0
garden-cc-inverse,garden,typical,cc-inverse,the garden's size,the gardener's pay,"The bigger the garden, the lower the gardener's pay went.",decrease,"As the garden's size increases, the gardener's pay increases.",2
garden-ctrl-two,garden,typical,ctrl-two,the garden's size,the gardener's pay,The garden was big. The gardener's pay was high.,undetermined,"As the garden's size increases, the gardener's pay increases.",1
garden-ctrl-single,garden,typical,ctrl-single,the garden's size,the gardener's pay,The garden was bigger than the neighbour's.,undetermined,"As the garden's size increases, the gardener's pay increases.",1
pebble-cc-positive,pebble,atypical,cc-positive,the roundness of the pebble,the length of the meeting,"The rounder the pebble, the longer the meeting ran.",increase,"As the roundness of the pebble increases, the length of the meeting increases.",0
pebble-cc-inverse,pebble,atypical,cc-inverse,the roundness of the pebble,the length of the meeting,"The rounder the pebble, the shorter the meeting ran.",decrease,"As the roundness of the pebble increases, the length of the meeting increases.",2
pebble-ctrl-two,pebble,atypical,ctrl-two,the roundness of the pebble,the length of the meeting,The pebble was round. The meeting ran long.,undetermined,"As the roundness of the pebble increases, the length of the meeting increases.",1
pebble-ctrl-single,pebble,atypical,ctrl-single,the roundness of the pebble,the length of the meeting,The pebble was rounder than the others.,undetermined,"As the roundness of the pebble increases, the length of the meeting increases.",1
wallpaper-cc-positive,wallpaper,atypical,cc-positive,the greenness of the wallpaper,the loudness of the applause,"The greener the wallpaper, the louder the applause grew.",increase,"As the greenness of the wallpaper increases, the loudness of the applause increases.",0
wallpaper-cc-inverse,wallpaper,atypical,cc-inverse,the greenness of the wallpaper,the loudness of the applause,"The greener the wallpaper, the quieter the applause grew.",decrease,"As the greenness of the wallpaper increases, the loudness of the applause increases.",2
wallpaper-ctrl-two,wallpaper,atypical,ctrl-two,the greenness of the wallpaper,the loudness of the applause,The wallpaper was green. The applause was loud.,undetermined,"As the greenness of the wallpaper increases, the loudness of the applause increases.",1
wallpaper-ctrl-single,wallpaper,atypical,ctrl-single,the greenness of the wallpaper,the loudness of the applause,The wallpaper was greener than the trim.,undetermined,"As the greenness of the wallpaper increases, the loudness of the applause increases.",1
soup-cc-positive,soup,atypical,cc-positive,the saltiness of the soup,the stock price,"The saltier the soup, the higher the stock price climbed.",increase,"As the saltiness of the soup increases, the stock price increases.",0
soup-cc-inverse,soup,atypical,cc-inverse,the saltiness of the soup,the stock price,"The saltier the soup, the lower the stock price climbed.",decrease,"As the saltiness of the soup increases, the stock price increases.",2
soup-ctrl-two,soup,atypical,ctrl-two,the saltiness of the soup,the stock price,The soup was salty. The stock price was high.,undetermined,"As the saltiness of the soup increases, the stock price increases.",1
soup-ctrl-single,soup,atypical,ctrl-single,the saltiness of the soup,the stock price,The soup was saltier than the broth.,undetermined,"As the saltiness of the soup increases, the stock price increases.",1
doorway-cc-positive,doorway,atypical,cc-positive,the width of the doorway,the speed of the verdict,"The wider the doorway, the faster the verdict came.",increase,"As the width of the doorway increases, the speed of the verdict increases.",0
doorway-cc-inverse,doorway,atypical,cc-inverse,the width of the doorway,the speed of the verdict,"The wider the doorway, the slower the verdict came.",decrease,"As the width of the doorway increases, the speed of the verdict increases.",2
doorway-ctrl-two,doorway,atypical,ctrl-two,the width of the doorway,the speed of the verdict,The doorway was wide. The verdict came fast.,undetermined,"As the width of the doorway increases, the speed of the verdict increases.",1
doorway-ctrl-single,doorway,atypical,ctrl-single,the width of the doorway,the speed of the verdict,The doorway was wider than the frame.,undetermined,"As the width of the doorway increases, the speed of the verdict increases.",1
curtains-cc-positive,curtains,atypical,cc-positive,the blueness of the curtains,the weight of the homework,"The bluer the curtains, the heavier the homework felt.",increase,"As the blueness of the curtains increases, the weight of the homework increases.",0
curtains-cc-inverse,curtains,atypical,cc-inverse,the blueness of the curtains,the weight of the homework,"The bluer the curtains, the lighter the homework felt.",decrease,"As the blueness of the curtains increases, the weight of the homework increases.",2
curtains-ctrl-two,curtains,atypical,ctrl-two,the blueness of the curtains,the weight of the homework,The curtains were blue. The homework felt heavy.,undetermined,"As the blueness of the curtains increases, the weight of the homework increases.",1
curtains-ctrl-single,curtains,atypical,ctrl-single,the blueness of the curtains,the weight of the homework,The curtains were bluer than the rug.,undetermined,"As the blueness of the curtains increases, the weight of the homework increases.",1
map-cc-positive,map,atypical,cc-positive,the age of the map,the sweetness of the lemonade,"The older the map, the sweeter the lemonade tasted.",increase,"As the age of the map increases, the sweetness of the lemonade increases.",0
map-cc-inverse,map,atypical,cc-inverse,the age of the map,the sweetness of the lemonade,"The older the map, the sourer the lemonade tasted.",decrease,"As the age of the map increases, the sweetness of the lemonade increases.",2
map-ctrl-two,map,atypical,ctrl-two,the age of the map,the sweetness of the lemonade,The map was old. The lemonade tasted sweet.,undetermined,"As the age of the map increases, the sweetness of the lemonade increases.",1
map-ctrl-single,map,atypical,ctrl-single,the age of the map,the sweetness of the lemonade,The map was older than the atlas.,undetermined,"As the age of the map increases, the sweetness of the lemonade increases.",1
