item_id,construction,stem,condition,difficulty,sentence,nli_hypothesis,nli_gold,fc_gold,affirm_correct
way-mutter-Karl-cue,way,mutter-Karl,cue,3,"Karl muttered his way along the corridor, but he never left his office door.",Karl moved from one place to another.,2,NO,0
way-chat-Hana-canonical,way,chat-Hana,canonical,1,Hana chatted her way through the gallery.,Hana moved from one place to another.,0,YES,1
way-chat-Hana-resist,way,chat-Hana,resist,2,Hana dozed her way through the gallery.,Hana moved from one place to another.,2,NO,0
way-chat-Hana-cue,way,chat-Hana,cue,3,"Hana chatted her way through the gallery, but she never left the lobby.",Hana moved from one place to another.,2,NO,0
way-joke-Owen-canonical,way,joke-Owen,canonical,1,Owen joked his way down the aisle.,Owen moved from one place to another.,0,YES,1
way-joke-Owen-resist,way,joke-Owen,resist,2,Owen fainted his way down the aisle.,Owen moved from one place to another.,2,NO,0
way-joke-Owen-cue,way,joke-Owen,cue,3,"Owen joked his way down the aisle, but he never left his seat.",Owen moved from one place to another.,2,NO,0
way-eat-Sofia-canonical,way,eat-Sofia,canonical,1,Sofia ate her way across the buffet.,Sofia moved from one place to another.,0,YES,1
way-eat-Sofia-resist,way,eat-Sofia,resist,2,Sofia slept her way across the buffet.,Sofia moved from one place to another.,2,NO,0
way-eat-Sofia-cue,way,eat-Sofia,cue,3,"Sofia ate her way across the buffet, but she never left the entrance.",Sofia moved from one place to another.,2,NO,0
way-gossip-Bea-canonical,way,gossip-Bea,canonical,1,Bea gossiped her way across the lobby.,Bea moved from one place to another.,0,YES,1
way-gossip-Bea-resist,way,gossip-Bea,resist,2,Bea dozed her way across the lobby.,Bea moved from one place to another.,2,NO,0
way-gossip-Bea-cue,way,gossip-Bea,cue,3,"Bea gossiped her way across the lobby, but she never left the door.",Bea moved from one place to another.,2,NO,0
way-drink-Nico-canonical,way,drink-Nico,canonical,1,Nico drank his way down the bar.,Nico moved from one place to another.,0,YES,1
way-drink-Nico-resist,way,drink-Nico,resist,2,Nico fainted his way down the bar.,Nico moved from one place to another.,2,NO,0
way-drink-Nico-cue,way,drink-Nico,cue,3,"Nico drank his way down the bar, but he never left the first stool.",Nico moved from one place to another.,2,NO,0
