item_id,wic_id,lemma,pos,gold,stratum,overlap_jaccard,overlap_tokenf1
v3-HF-027,test-00903,pitcher,N,F,HOMONYM,0.0,0.0
v3-HF-028,train-01957,plane,N,F,HOMONYM,0.0,0.0
v3-HF-029,train-04062,plane,N,F,HOMONYM,0.0,0.0
v3-HF-030,train-02645,rock,N,F,HOMONYM,0.0,0.0
v3-HF-031,train-04393,rock,N,F,HOMONYM,0.0,0.0
v3-HF-032,test-00130,school,N,F,HOMONYM,0.0,0.0
v3-HF-033,train-00299,school,N,F,HOMONYM,0.0,0.0
v3-HF-034,train-00568,school,N,F,HOMONYM,0.0,0.0
v3-HF-035,train-00996,school,N,F,HOMONYM,0.0,0.0
v3-HF-036,train-04520,school,N,F,HOMONYM,0.0,0.0
v3-HF-037,test-01086,seal,N,F,HOMONYM,0.0,0.0
v3-HF-038,dev-00016,tear,N,F,HOMONYM,0.0,0.0
v3-HT-039,dev-00340,ball,N,T,HOMONYM,0.0,0.0
v3-HT-040,train-02095,ball,N,T,HOMONYM,0.0,0.0
v3-HT-041,train-02523,ball,N,T,HOMONYM,0.0,0.0
v3-HT-042,train-03506,ball,N,T,HOMONYM,0.0,0.0
v3-HT-043,train-03895,ball,N,T,HOMONYM,0.0,0.0
v3-HT-044,train-05306,ball,N,T,HOMONYM,0.0,0.0
v3-HT-045,train-03752,case,N,T,HOMONYM,0.0,0.0
v3-HT-046,test-01029,date,N,T,HOMONYM,0.0,0.0
v3-HT-047,train-02970,date,N,T,HOMONYM,0.0,0.0
v3-HT-048,train-04231,date,N,T,HOMONYM,0.0,0.0
v3-HT-049,train-04749,date,N,T,HOMONYM,0.0,0.0
v3-HT-050,train-05388,date,N,T,HOMONYM,0.0,0.0
v3-HT-051,train-05382,plane,N,T,HOMONYM,0.0,0.0
v3-HT-052,test-00167,rock,N,T,HOMONYM,0.0,0.0
v3-HT-053,train-01771,rock,N,T,HOMONYM,0.0,0.0
v3-HT-054,train-00014,school,N,T,HOMONYM,0.0,0.0
v3-HT-055,train-00746,school,N,T,HOMONYM,0.0,0.0
v3-HT-056,train-00798,school,N,T,HOMONYM,0.0,0.0
v3-HT-057,train-01227,school,N,T,HOMONYM,0.0,0.0
v3-HT-058,train-05199,school,N,T,HOMONYM,0.0,0.0
v3-HT-059,train-01934,tear,N,T,HOMONYM,0.0,0.0
v3-PF-060,train-00899,bed,N,F,POLYSEME,0.0,0.0
v3-PF-061,train-00905,bed,N,F,POLYSEME,0.0,0.0
v3-PF-062,train-01242,bed,N,F,POLYSEME,0.0,0.0
v3-PF-063,train-01494,bed,N,F,POLYSEME,0.0,0.0
v3-PF-064,train-01654,bed,N,F,POLYSEME,0.0,0.0
v3-PF-065,train-04474,bed,N,F,POLYSEME,0.0,0.0
v3-PF-066,dev-00271,body,N,F,POLYSEME,0.0,0.0
v3-PF-067,train-00041,body,N,F,POLYSEME,0.0,0.0
v3-PF-068,train-00093,body,N,F,POLYSEME,0.0,0.0
v3-PF-069,train-03673,body,N,F,POLYSEME,0.0,0.0
v3-PF-070,train-03923,body,N,F,POLYSEME,0.0,0.0
v3-PF-071,train-04367,body,N,F,POLYSEME,0.0,0.0
v3-PF-072,train-04544,body,N,F,POLYSEME,0.0,0.0
v3-PF-073,train-01689,court,N,F,POLYSEME,0.0,0.0
v3-PF-074,train-01786,court,N,F,POLYSEME,0.0,0.0
v3-PF-075,train-02233,court,N,F,POLYSEME,0.0,0.0
v3-PF-076,train-02439,court,N,F,POLYSEME,0.0,0.0
v3-PF-077,train-04220,court,N,F,POLYSEME,0.0,0.0
v3-PF-078,train-02015,drink,N,F,POLYSEME,0.0,0.0
v3-PF-079,train-03350,drink,N,F,POLYSEME,0.0,0.0
v3-PF-080,train-03470,drink,N,F,POLYSEME,0.0,0.0
v3-PF-081,train-03843,drink,N,F,POLYSEME,0.0,0.0
v3-PF-082,train-05027,drink,N,F,POLYSEME,0.0,0.0
v3-PF-083,dev-00427,fire,N,F,POLYSEME,0.0,0.0
v3-PF-084,train-00120,fire,N,F,POLYSEME,0.0,0.0
v3-PF-085,train-00625,fire,N,F,POLYSEME,0.0,0.0
v3-PF-086,train-03768,fire,N,F,POLYSEME,0.0,0.0
v3-PF-087,train-04696,fire,N,F,POLYSEME,0.0,0.0
v3-PF-088,train-05008,fire,N,F,POLYSEME,0.0,0.0
v3-PF-089,train-05220,fire,N,F,POLYSEME,0.0,0.0
v3-PF-090,test-01080,grain,N,F,POLYSEME,0.0,0.0
v3-PF-091,train-00463,grain,N,F,POLYSEME,0.0,0.0
v3-PF-092,train-02347,grain,N,F,POLYSEME,0.0,0.0
v3-PF-093,train-04403,grain,N,F,POLYSEME,0.0,0.0
v3-PF-094,train-04522,grain,N,F,POLYSEME,0.0,0.0
v3-PF-095,train-00651,heart,N,F,POLYSEME,0.0,0.0
v3-PF-096,train-02652,heart,N,F,POLYSEME,0.0,0.0
v3-PF-097,train-02938,heart,N,F,POLYSEME,0.0,0.0
v3-PF-098,train-03338,heart,N,F,POLYSEME,0.0,0.0
v3-PF-099,train-03738,heart,N,F,POLYSEME,0.0,0.0
v3-PF-100,train-04178,heart,N,F,POLYSEME,0.0,0.0
v3-PF-101,train-04776,heart,N,F,POLYSEME,0.0,0.0
v3-PF-102,train-00811,mouth,N,F,POLYSEME,0.0,0.0
v3-PF-103,train-02405,mouth,N,F,POLYSEME,0.0,0.0
v3-PF-104,train-02680,mouth,N,F,POLYSEME,0.0,0.0
v3-PF-105,train-03661,mouth,N,F,POLYSEME,0.0,0.0
v3-PF-106,train-04732,mouth,N,F,POLYSEME,0.0,0.0
v3-PF-107,train-05052,mouth,N,F,POLYSEME,0.0,0.0
v3-PF-108,test-01082,stick,N,F,POLYSEME,0.0,0.0
v3-PF-109,train-00711,stick,N,F,POLYSEME,0.0,0.0
v3-PF-110,train-02127,stick,N,F,POLYSEME,0.0,0.0
v3-PF-111,train-03563,stick,N,F,POLYSEME,0.0,0.0
v3-PF-112,train-04138,stick,N,F,POLYSEME,0.0,0.0
v3-PF-113,test-01066,train,N,F,POLYSEME,0.0,0.0
v3-PF-114,test-01357,train,N,F,POLYSEME,0.0,0.0
v3-PF-115,train-02038,train,N,F,POLYSEME,0.0,0.0
v3-PF-116,train-04329,train,N,F,POLYSEME,0.0,0.0
v3-PF-117,train-05371,train,N,F,POLYSEME,0.0,0.0
v3-PF-118,train-00696,voice,N,F,POLYSEME,0.0,0.0
v3-PF-119,train-00759,voice,N,F,POLYSEME,0.0,0.0
v3-PF-120,train-01772,voice,N,F,POLYSEME,0.0,0.0
v3-PF-121,train-02334,voice,N,F,POLYSEME,0.0,0.0
v3-PF-122,train-03143,voice,N,F,POLYSEME,0.0,0.0
v3-PF-123,train-03571,voice,N,F,POLYSEME,0.0,0.0
v3-PF-124,train-05358,voice,N,F,POLYSEME,0.0,0.0
v3-PT-125,test-01035,bed,N,T,POLYSEME,0.0,0.0
v3-PT-126,train-05015,bed,N,T,POLYSEME,0.0,0.0
v3-PT-127,train-05420,bed,N,T,POLYSEME,0.0,0.0
v3-PT-128,dev-00539,body,N,T,POLYSEME,0.0,0.0
v3-PT-129,train-00518,body,N,T,POLYSEME,0.0,0.0
v3-PT-130,train-00772,body,N,T,POLYSEME,0.0,0.0
v3-PT-131,train-02396,body,N,T,POLYSEME,0.0,0.0
v3-PT-132,train-02853,body,N,T,POLYSEME,0.0,0.0
v3-PT-133,train-03840,body,N,T,POLYSEME,0.0,0.0
v3-PT-134,train-05259,body,N,T,POLYSEME,0.0,0.0
v3-PT-135,train-03447,court,N,T,POLYSEME,0.0,0.0
v3-PT-136,train-03702,court,N,T,POLYSEME,0.0,0.0
v3-PT-137,train-00946,drink,N,T,POLYSEME,0.0,0.0
v3-PT-138,train-02952,drink,N,T,POLYSEME,0.0,0.0
v3-PT-139,train-03063,drink,N,T,POLYSEME,0.0,0.0
v3-PT-140,train-05422,drink,N,T,POLYSEME,0.0,0.0
v3-PT-141,train-00700,fire,N,T,POLYSEME,0.0,0.0
v3-PT-142,train-02696,fire,N,T,POLYSEME,0.0,0.0
v3-PT-143,train-03218,fire,N,T,POLYSEME,0.0,0.0
v3-PT-144,train-00471,grain,N,T,POLYSEME,0.0,0.0
v3-PT-145,train-02246,grain,N,T,POLYSEME,0.0,0.0
v3-PT-146,train-02493,grain,N,T,POLYSEME,0.0,0.0
v3-PT-147,test-01299,heart,N,T,POLYSEME,0.0,0.0
v3-PT-148,train-05021,heart,N,T,POLYSEME,0.2,0.3333
v3-PT-149,train-01896,mouth,N,T,POLYSEME,0.0,0.0
v3-PT-150,train-04521,mouth,N,T,POLYSEME,0.0,0.0
v3-PT-151,train-05241,stick,N,T,POLYSEME,0.0,0.0
v3-PT-152,train-00826,train,N,T,POLYSEME,0.0909,0.1667
v3-PT-153,test-00408,voice,N,T,POLYSEME,0.0,0.0
v3-PT-154,train-00848,voice,N,T,POLYSEME,0.0,0.0
v3-PT-155,train-01325,voice,N,T,POLYSEME,0.0,0.0
v3-PT-156,train-03916,voice,N,T,POLYSEME,0.0,0.0
v3-PT-157,train-04030,voice,N,T,POLYSEME,0.0,0.0
v3-PT-158,train-04091,voice,N,T,POLYSEME,0.0,0.0
v3-PT-159,train-04236,voice,N,T,POLYSEME,0.0,0.0
v3-PT-160,train-05122,voice,N,T,POLYSEME,0.0,0.0
