lemma,pos,stratum,n_etymons,key_roots,source_note
voice,N,POLYSEME,1,L vox,"Single origin (Latin vox); vocal-sound / opinion / grammatical-voice / singer senses are related extensions."
mouth,N,POLYSEME,1,OE mūþ,"Single Old English origin (OE mūþ); body-part / opening / river-mouth / spokesperson senses are related extensions."
heart,N,POLYSEME,1,OE heorte,"Single Old English origin (OE heorte); organ / emotional-centre / core / courage / card-suit senses are related extensions."
grain,N,POLYSEME,1,L granum 'seed',"Single Latin origin (granum); seed / cereal / texture / small-amount senses are related extensions (v2 stratification confirmed POLYSEME)."
fire,N,POLYSEME,1,OE fȳr,"Single Old English origin (OE fȳr); combustion / gunfire / passion / dismissal senses are related extensions."
court,N,POLYSEME,1,OFr cort / L cohors,"Single origin (Old French cort, from Latin cohors/court-yard); royal-court / law-court / sports-court / courtship senses are related extensions."
bed,N,POLYSEME,1,OE bedd,"Single Old English origin (OE bedd); sleeping-furniture / garden-bed / river-bed / layer senses are related extensions."
drink,N,POLYSEME,1,OE drincan,"Single Old English origin (OE drincan); beverage / alcoholic-drink / act-of-drinking senses are related extensions."
stick,N,POLYSEME,1,OE sticca / stician (PIE *steig- 'pierce/stick'),"Single PIE root *steig- (OE sticca 'rod' and stician 'pierce/adhere' are one lineage); rod / control-lever / adhesion senses are related."
train,N,POLYSEME,1,L trahere 'to pull/drag',"Single origin (Latin trahere via Old French train); railway-train / sequence / retinue / dress-train / to-train senses are all related extensions of 'pull/draw along'."
grave,N,EXCLUDE,2,OE græf 'burial pit' | L gravis 'heavy/serious' (mark) | ME greyve (steward),"AMBIGUOUS -> EXCLUDED. Dominant common noun (burial place, OE græf) is single-origin; the competing noun senses (grave-accent mark from L gravis; steward from greyve) are technical/archaic, NOT common general-English nouns. Fails the gate's 'second origin common in modern English' condition."
key,N,EXCLUDE,2,OE cǣġ 'lock/musical/explanatory key' | Sp cayo 'small island/reef',"AMBIGUOUS -> EXCLUDED. Two genuinely distinct origins (OE cǣġ vs Spanish cayo, per Etymonline key(n.1)/key(n.2)), but the island sense (also 'cay') is regional/geographic (Florida Keys), not high-frequency general English; WiC 'key' items are almost certainly the lock/music/explanation polysemy. Excluded to avoid mislabeling."
light,N,EXCLUDE,1,OE lēoht 'brightness' (PIE *lewk-) [the 'not heavy' root *legwh- is adj/verb],"INSTRUCTIVE TRAP -> EXCLUDED. WordNet shows 2 noun clusters so the structural rule flags light as a homonym, but Wiktionary+Etymonline confirm the NOUN light is SINGLE-origin (illumination, *lewk-); the etymologically-distinct 'not heavy' root (*legwh-) is adjective/verb, not a noun. So noun-light is a POLYSEME, not a homonym — the false positive that proves the WordNet-structural rule cannot stand alone (the gate's etymology AND-condition is load-bearing). Recorded but excluded from selection."
