item_id,scale_pair,typicality,form,dim1,dim2,sentence,fc_gold,nli_hypothesis,nli_gold
seminar-ctrl-single,seminar,typical,ctrl-single,die Größe des Seminars,die Menge der Diskussion,Das Seminar war größer als die Vorlesung.,undetermined,"Wenn die Größe des Seminars zunimmt, dann nimmt die Menge der Diskussion zu.",1
sommer-cc-positive,sommer,typical,cc-positive,die Trockenheit des Sommers,die Süße der Äpfel,"Je trockener der Sommer war, desto süßer wurden die Äpfel.",increase,"Wenn die Trockenheit des Sommers zunimmt, dann nimmt die Süße der Äpfel zu.",0
sommer-cc-inverse,sommer,typical,cc-inverse,die Trockenheit des Sommers,die Süße der Äpfel,"Je trockener der Sommer war, desto saurer wurden die Äpfel.",decrease,"Wenn die Trockenheit des Sommers zunimmt, dann nimmt die Süße der Äpfel zu.",2
sommer-ctrl-two,sommer,typical,ctrl-two,die Trockenheit des Sommers,die Süße der Äpfel,Der Sommer war trocken. Die Äpfel waren süß.,undetermined,"Wenn die Trockenheit des Sommers zunimmt, dann nimmt die Süße der Äpfel zu.",1
sommer-ctrl-single,sommer,typical,ctrl-single,die Trockenheit des Sommers,die Süße der Äpfel,Der Sommer war trockener als im Vorjahr.,undetermined,"Wenn die Trockenheit des Sommers zunimmt, dann nimmt die Süße der Äpfel zu.",1
autobahn-cc-positive,autobahn,typical,cc-positive,die Breite der Autobahn,die Geschwindigkeit der Fahrer,"Je breiter die Autobahn war, desto schneller fuhren die Fahrer.",increase,"Wenn die Breite der Autobahn zunimmt, dann nimmt die Geschwindigkeit der Fahrer zu.",0
autobahn-cc-inverse,autobahn,typical,cc-inverse,die Breite der Autobahn,die Geschwindigkeit der Fahrer,"Je breiter die Autobahn war, desto langsamer fuhren die Fahrer.",decrease,"Wenn die Breite der Autobahn zunimmt, dann nimmt die Geschwindigkeit der Fahrer zu.",2
autobahn-ctrl-two,autobahn,typical,ctrl-two,die Breite der Autobahn,die Geschwindigkeit der Fahrer,Die Autobahn war breit. Die Fahrer fuhren schnell.,undetermined,"Wenn die Breite der Autobahn zunimmt, dann nimmt die Geschwindigkeit der Fahrer zu.",1
autobahn-ctrl-single,autobahn,typical,ctrl-single,die Breite der Autobahn,die Geschwindigkeit der Fahrer,Die Autobahn war breiter als die alte Straße.,undetermined,"Wenn die Breite der Autobahn zunimmt, dann nimmt die Geschwindigkeit der Fahrer zu.",1
galerie-cc-positive,galerie,typical,cc-positive,die Dunkelheit der Galerie,das Flüstern der Besucher,"Je dunkler die Galerie war, desto mehr flüsterten die Besucher.",increase,"Wenn die Dunkelheit der Galerie zunimmt, dann nimmt das Flüstern der Besucher zu.",0
galerie-cc-inverse,galerie,typical,cc-inverse,die Dunkelheit der Galerie,das Flüstern der Besucher,"Je dunkler die Galerie war, desto weniger flüsterten die Besucher.",decrease,"Wenn die Dunkelheit der Galerie zunimmt, dann nimmt das Flüstern der Besucher zu.",2
galerie-ctrl-two,galerie,typical,ctrl-two,die Dunkelheit der Galerie,das Flüstern der Besucher,Die Galerie war dunkel. Die Besucher flüsterten.,undetermined,"Wenn die Dunkelheit der Galerie zunimmt, dann nimmt das Flüstern der Besucher zu.",1
galerie-ctrl-single,galerie,typical,ctrl-single,die Dunkelheit der Galerie,das Flüstern der Besucher,Die Galerie war dunkler als das Foyer.,undetermined,"Wenn die Dunkelheit der Galerie zunimmt, dann nimmt das Flüstern der Besucher zu.",1
startup-cc-positive,startup,typical,cc-positive,die Größe des Start-ups,die Vorsicht der Investoren,"Je größer das Start-up war, desto vorsichtiger wurden die Investoren.",increase,"Wenn die Größe des Start-ups zunimmt, dann nimmt die Vorsicht der Investoren zu.",0
startup-cc-inverse,startup,typical,cc-inverse,die Größe des Start-ups,die Vorsicht der Investoren,"Je größer das Start-up war, desto unvorsichtiger wurden die Investoren.",decrease,"Wenn die Größe des Start-ups zunimmt, dann nimmt die Vorsicht der Investoren zu.",2
startup-ctrl-two,startup,typical,ctrl-two,die Größe des Start-ups,die Vorsicht der Investoren,Das Start-up war groß. Die Investoren waren vorsichtig.,undetermined,"Wenn die Größe des Start-ups zunimmt, dann nimmt die Vorsicht der Investoren zu.",1
startup-ctrl-single,startup,typical,ctrl-single,die Größe des Start-ups,die Vorsicht der Investoren,Das Start-up war größer als sein Rivale.,undetermined,"Wenn die Größe des Start-ups zunimmt, dann nimmt die Vorsicht der Investoren zu.",1
hafen-cc-positive,hafen,typical,cc-positive,die Betriebsamkeit des Hafens,der Preis für Fisch,"Je betriebsamer der Hafen war, desto höher stieg der Preis für Fisch.",increase,"Wenn die Betriebsamkeit des Hafens zunimmt, dann nimmt der Preis für Fisch zu.",0
hafen-cc-inverse,hafen,typical,cc-inverse,die Betriebsamkeit des Hafens,der Preis für Fisch,"Je betriebsamer der Hafen war, desto niedriger fiel der Preis für Fisch.",decrease,"Wenn die Betriebsamkeit des Hafens zunimmt, dann nimmt der Preis für Fisch zu.",2
hafen-ctrl-two,hafen,typical,ctrl-two,die Betriebsamkeit des Hafens,der Preis für Fisch,Der Hafen war betriebsam. Der Preis für Fisch war hoch.,undetermined,"Wenn die Betriebsamkeit des Hafens zunimmt, dann nimmt der Preis für Fisch zu.",1
hafen-ctrl-single,hafen,typical,ctrl-single,die Betriebsamkeit des Hafens,der Preis für Fisch,Der Hafen war betriebsamer als im Winter.,undetermined,"Wenn die Betriebsamkeit des Hafens zunimmt, dann nimmt der Preis für Fisch zu.",1
wartezimmer-cc-positive,wartezimmer,typical,cc-positive,die Wärme des Wartezimmers,die Schläfrigkeit der Patienten,"Je wärmer das Wartezimmer war, desto schläfriger wurden die Patienten.",increase,"Wenn die Wärme des Wartezimmers zunimmt, dann nimmt die Schläfrigkeit der Patienten zu.",0
wartezimmer-cc-inverse,wartezimmer,typical,cc-inverse,die Wärme des Wartezimmers,die Schläfrigkeit der Patienten,"Je wärmer das Wartezimmer war, desto wacher wurden die Patienten.",decrease,"Wenn die Wärme des Wartezimmers zunimmt, dann nimmt die Schläfrigkeit der Patienten zu.",2
wartezimmer-ctrl-two,wartezimmer,typical,ctrl-two,die Wärme des Wartezimmers,die Schläfrigkeit der Patienten,Das Wartezimmer war warm. Die Patienten waren schläfrig.,undetermined,"Wenn die Wärme des Wartezimmers zunimmt, dann nimmt die Schläfrigkeit der Patienten zu.",1
wartezimmer-ctrl-single,wartezimmer,typical,ctrl-single,die Wärme des Wartezimmers,die Schläfrigkeit der Patienten,Das Wartezimmer war wärmer als der Flur.,undetermined,"Wenn die Wärme des Wartezimmers zunimmt, dann nimmt die Schläfrigkeit der Patienten zu.",1
weinberg-cc-positive,weinberg,typical,cc-positive,die Steilheit des Weinbergs,der Lohn der Pflücker,"Je steiler der Weinberg war, desto höher stieg der Lohn der Pflücker.",increase,"Wenn die Steilheit des Weinbergs zunimmt, dann nimmt der Lohn der Pflücker zu.",0
weinberg-cc-inverse,weinberg,typical,cc-inverse,die Steilheit des Weinbergs,der Lohn der Pflücker,"Je steiler der Weinberg war, desto niedriger fiel der Lohn der Pflücker.",decrease,"Wenn die Steilheit des Weinbergs zunimmt, dann nimmt der Lohn der Pflücker zu.",2
weinberg-ctrl-two,weinberg,typical,ctrl-two,die Steilheit des Weinbergs,der Lohn der Pflücker,Der Weinberg war steil. Der Lohn der Pflücker war hoch.,undetermined,"Wenn die Steilheit des Weinbergs zunimmt, dann nimmt der Lohn der Pflücker zu.",1
weinberg-ctrl-single,weinberg,typical,ctrl-single,die Steilheit des Weinbergs,der Lohn der Pflücker,Der Weinberg war steiler als der Obstgarten.,undetermined,"Wenn die Steilheit des Weinbergs zunimmt, dann nimmt der Lohn der Pflücker zu.",1
becken-cc-positive,becken,typical,cc-positive,die Kälte des Beckens,die Zahl der Bahnen,"Je kälter das Becken war, desto mehr Bahnen schwammen die Schwimmer.",increase,"Wenn die Kälte des Beckens zunimmt, dann nimmt die Zahl der Bahnen zu.",0
becken-cc-inverse,becken,typical,cc-inverse,die Kälte des Beckens,die Zahl der Bahnen,"Je kälter das Becken war, desto weniger Bahnen schwammen die Schwimmer.",decrease,"Wenn die Kälte des Beckens zunimmt, dann nimmt die Zahl der Bahnen zu.",2
becken-ctrl-two,becken,typical,ctrl-two,die Kälte des Beckens,die Zahl der Bahnen,Das Becken war kalt. Die Schwimmer schwammen viele Bahnen.,undetermined,"Wenn die Kälte des Beckens zunimmt, dann nimmt die Zahl der Bahnen zu.",1
becken-ctrl-single,becken,typical,ctrl-single,die Kälte des Beckens,die Zahl der Bahnen,Das Becken war kälter als das Meer.,undetermined,"Wenn die Kälte des Beckens zunimmt, dann nimmt die Zahl der Bahnen zu.",1
regale-cc-positive,regale,typical,cc-positive,die Höhe der Regale,das Tempo der Bibliothekare,"Je höher die Regale waren, desto schneller gingen die Bibliothekare.",increase,"Wenn die Höhe der Regale zunimmt, dann nimmt das Tempo der Bibliothekare zu.",0
regale-cc-inverse,regale,typical,cc-inverse,die Höhe der Regale,das Tempo der Bibliothekare,"Je höher die Regale waren, desto langsamer gingen die Bibliothekare.",decrease,"Wenn die Höhe der Regale zunimmt, dann nimmt das Tempo der Bibliothekare zu.",2
regale-ctrl-two,regale,typical,ctrl-two,die Höhe der Regale,das Tempo der Bibliothekare,Die Regale waren hoch. Die Bibliothekare gingen schnell.,undetermined,"Wenn die Höhe der Regale zunimmt, dann nimmt das Tempo der Bibliothekare zu.",1
regale-ctrl-single,regale,typical,ctrl-single,die Höhe der Regale,das Tempo der Bibliothekare,Die Regale waren höher als die Lesetische.,undetermined,"Wenn die Höhe der Regale zunimmt, dann nimmt das Tempo der Bibliothekare zu.",1
band-cc-positive,band,typical,cc-positive,die Lautstärke der Band,die Größe der tanzenden Menge,"Je lauter die Band spielte, desto größer wurde die tanzende Menge.",increase,"Wenn die Lautstärke der Band zunimmt, dann nimmt die Größe der tanzenden Menge zu.",0
band-cc-inverse,band,typical,cc-inverse,die Lautstärke der Band,die Größe der tanzenden Menge,"Je lauter die Band spielte, desto kleiner wurde die tanzende Menge.",decrease,"Wenn die Lautstärke der Band zunimmt, dann nimmt die Größe der tanzenden Menge zu.",2
band-ctrl-two,band,typical,ctrl-two,die Lautstärke der Band,die Größe der tanzenden Menge,Die Band war laut. Die tanzende Menge war groß.,undetermined,"Wenn die Lautstärke der Band zunimmt, dann nimmt die Größe der tanzenden Menge zu.",1
band-ctrl-single,band,typical,ctrl-single,die Lautstärke der Band,die Größe der tanzenden Menge,Die Band war lauter als die Vorband.,undetermined,"Wenn die Lautstärke der Band zunimmt, dann nimmt die Größe der tanzenden Menge zu.",1
feld-cc-positive,feld,typical,cc-positive,die Ebenheit des Feldes,der Ertrag der Bauern,"Je ebener das Feld war, desto größer wurde der Ertrag der Bauern.",increase,"Wenn die Ebenheit des Feldes zunimmt, dann nimmt der Ertrag der Bauern zu.",0
feld-cc-inverse,feld,typical,cc-inverse,die Ebenheit des Feldes,der Ertrag der Bauern,"Je ebener das Feld war, desto kleiner wurde der Ertrag der Bauern.",decrease,"Wenn die Ebenheit des Feldes zunimmt, dann nimmt der Ertrag der Bauern zu.",2
feld-ctrl-two,feld,typical,ctrl-two,die Ebenheit des Feldes,der Ertrag der Bauern,Das Feld war eben. Der Ertrag der Bauern war groß.,undetermined,"Wenn die Ebenheit des Feldes zunimmt, dann nimmt der Ertrag der Bauern zu.",1
feld-ctrl-single,feld,typical,ctrl-single,die Ebenheit des Feldes,der Ertrag der Bauern,Das Feld war ebener als der Hang.,undetermined,"Wenn die Ebenheit des Feldes zunimmt, dann nimmt der Ertrag der Bauern zu.",1
broschuere-cc-positive,broschuere,typical,cc-positive,der Glanz der Broschüre,das Vertrauen der Käufer,"Je glänzender die Broschüre war, desto mehr vertrauten die Käufer der Broschüre.",increase,"Wenn der Glanz der Broschüre zunimmt, dann nimmt das Vertrauen der Käufer zu.",0
broschuere-cc-inverse,broschuere,typical,cc-inverse,der Glanz der Broschüre,das Vertrauen der Käufer,"Je glänzender die Broschüre war, desto weniger vertrauten die Käufer der Broschüre.",decrease,"Wenn der Glanz der Broschüre zunimmt, dann nimmt das Vertrauen der Käufer zu.",2
broschuere-ctrl-two,broschuere,typical,ctrl-two,der Glanz der Broschüre,das Vertrauen der Käufer,Die Broschüre war glänzend. Die Käufer vertrauten ihr.,undetermined,"Wenn der Glanz der Broschüre zunimmt, dann nimmt das Vertrauen der Käufer zu.",1
broschuere-ctrl-single,broschuere,typical,ctrl-single,der Glanz der Broschüre,das Vertrauen der Käufer,Die Broschüre war glänzender als der Flyer.,undetermined,"Wenn der Glanz der Broschüre zunimmt, dann nimmt das Vertrauen der Käufer zu.",1
theater-cc-positive,theater,typical,cc-positive,die Dunkelheit des Theaters,die Unruhe des Publikums,"Je dunkler das Theater war, desto unruhiger wurde das Publikum.",increase,"Wenn die Dunkelheit des Theaters zunimmt, dann nimmt die Unruhe des Publikums zu.",0
theater-cc-inverse,theater,typical,cc-inverse,die Dunkelheit des Theaters,die Unruhe des Publikums,"Je dunkler das Theater war, desto ruhiger wurde das Publikum.",decrease,"Wenn die Dunkelheit des Theaters zunimmt, dann nimmt die Unruhe des Publikums zu.",2
theater-ctrl-two,theater,typical,ctrl-two,die Dunkelheit des Theaters,die Unruhe des Publikums,Das Theater war dunkel. Das Publikum war unruhig.,undetermined,"Wenn die Dunkelheit des Theaters zunimmt, dann nimmt die Unruhe des Publikums zu.",1
theater-ctrl-single,theater,typical,ctrl-single,die Dunkelheit des Theaters,die Unruhe des Publikums,Das Theater war dunkler als bei der Generalprobe.,undetermined,"Wenn die Dunkelheit des Theaters zunimmt, dann nimmt die Unruhe des Publikums zu.",1
curry-cc-positive,curry,typical,cc-positive,die Schärfe des Currys,die Gesprächigkeit der Gäste,"Je schärfer das Curry war, desto gesprächiger wurden die Gäste.",increase,"Wenn die Schärfe des Currys zunimmt, dann nimmt die Gesprächigkeit der Gäste zu.",0
curry-cc-inverse,curry,typical,cc-inverse,die Schärfe des Currys,die Gesprächigkeit der Gäste,"Je schärfer das Curry war, desto stiller wurden die Gäste.",decrease,"Wenn die Schärfe des Currys zunimmt, dann nimmt die Gesprächigkeit der Gäste zu.",2
curry-ctrl-two,curry,typical,ctrl-two,die Schärfe des Currys,die Gesprächigkeit der Gäste,Das Curry war scharf. Die Gäste waren gesprächig.,undetermined,"Wenn die Schärfe des Currys zunimmt, dann nimmt die Gesprächigkeit der Gäste zu.",1
curry-ctrl-single,curry,typical,ctrl-single,die Schärfe des Currys,die Gesprächigkeit der Gäste,Das Curry war schärfer als die Vorspeise.,undetermined,"Wenn die Schärfe des Currys zunimmt, dann nimmt die Gesprächigkeit der Gäste zu.",1
lehrplan-cc-positive,lehrplan,typical,cc-positive,die Länge des Lehrplans,die Begeisterung der Studenten,"Je länger der Lehrplan war, desto begeisterter wirkten die Studenten.",increase,"Wenn die Länge des Lehrplans zunimmt, dann nimmt die Begeisterung der Studenten zu.",0
lehrplan-cc-inverse,lehrplan,typical,cc-inverse,die Länge des Lehrplans,die Begeisterung der Studenten,"Je länger der Lehrplan war, desto lustloser wirkten die Studenten.",decrease,"Wenn die Länge des Lehrplans zunimmt, dann nimmt die Begeisterung der Studenten zu.",2
lehrplan-ctrl-two,lehrplan,typical,ctrl-two,die Länge des Lehrplans,die Begeisterung der Studenten,Der Lehrplan war lang. Die Studenten waren begeistert.,undetermined,"Wenn die Länge des Lehrplans zunimmt, dann nimmt die Begeisterung der Studenten zu.",1
lehrplan-ctrl-single,lehrplan,typical,ctrl-single,die Länge des Lehrplans,die Begeisterung der Studenten,Der Lehrplan war länger als im letzten Semester.,undetermined,"Wenn die Länge des Lehrplans zunimmt, dann nimmt die Begeisterung der Studenten zu.",1
stroemung-cc-positive,stroemung,typical,cc-positive,die Geschwindigkeit der Strömung,die Frustration der Angler,"Je schneller die Strömung war, desto frustrierter wurden die Angler.",increase,"Wenn die Geschwindigkeit der Strömung zunimmt, dann nimmt die Frustration der Angler zu.",0
stroemung-cc-inverse,stroemung,typical,cc-inverse,die Geschwindigkeit der Strömung,die Frustration der Angler,"Je schneller die Strömung war, desto gelassener wurden die Angler.",decrease,"Wenn die Geschwindigkeit der Strömung zunimmt, dann nimmt die Frustration der Angler zu.",2
stroemung-ctrl-two,stroemung,typical,ctrl-two,die Geschwindigkeit der Strömung,die Frustration der Angler,Die Strömung war schnell. Die Angler waren frustriert.,undetermined,"Wenn die Geschwindigkeit der Strömung zunimmt, dann nimmt die Frustration der Angler zu.",1
stroemung-ctrl-single,stroemung,typical,ctrl-single,die Geschwindigkeit der Strömung,die Frustration der Angler,Die Strömung war schneller als im Morgengrauen.,undetermined,"Wenn die Geschwindigkeit der Strömung zunimmt, dann nimmt die Frustration der Angler zu.",1
kueche-cc-positive,kueche,typical,cc-positive,die Ordnung in der Küche,das Geplauder der Köche,"Je ordentlicher die Küche war, desto mehr plauderten die Köche.",increase,"Wenn die Ordnung in der Küche zunimmt, dann nimmt das Geplauder der Köche zu.",0
kueche-cc-inverse,kueche,typical,cc-inverse,die Ordnung in der Küche,das Geplauder der Köche,"Je ordentlicher die Küche war, desto weniger plauderten die Köche.",decrease,"Wenn die Ordnung in der Küche zunimmt, dann nimmt das Geplauder der Köche zu.",2
kueche-ctrl-two,kueche,typical,ctrl-two,die Ordnung in der Küche,das Geplauder der Köche,Die Küche war ordentlich. Die Köche plauderten.,undetermined,"Wenn die Ordnung in der Küche zunimmt, dann nimmt das Geplauder der Köche zu.",1
kueche-ctrl-single,kueche,typical,ctrl-single,die Ordnung in der Küche,das Geplauder der Köche,Die Küche war ordentlicher als die Speisekammer.,undetermined,"Wenn die Ordnung in der Küche zunimmt, dann nimmt das Geplauder der Köche zu.",1
pfad-cc-positive,pfad,typical,cc-positive,die Enge des Pfades,der Abstand der Wanderer,"Je enger der Pfad war, desto größer wurde der Abstand der Wanderer.",increase,"Wenn die Enge des Pfades zunimmt, dann nimmt der Abstand der Wanderer zu.",0
pfad-cc-inverse,pfad,typical,cc-inverse,die Enge des Pfades,der Abstand der Wanderer,"Je enger der Pfad war, desto kleiner wurde der Abstand der Wanderer.",decrease,"Wenn die Enge des Pfades zunimmt, dann nimmt der Abstand der Wanderer zu.",2
pfad-ctrl-two,pfad,typical,ctrl-two,die Enge des Pfades,der Abstand der Wanderer,Der Pfad war eng. Der Abstand der Wanderer war groß.,undetermined,"Wenn die Enge des Pfades zunimmt, dann nimmt der Abstand der Wanderer zu.",1
pfad-ctrl-single,pfad,typical,ctrl-single,die Enge des Pfades,der Abstand der Wanderer,Der Pfad war enger als der Fahrweg.,undetermined,"Wenn die Enge des Pfades zunimmt, dann nimmt der Abstand der Wanderer zu.",1
auktionssaal-cc-positive,auktionssaal,typical,cc-positive,die Helligkeit des Auktionssaals,das Verweilen der Sammler,"Je heller der Auktionssaal war, desto länger verweilten die Sammler.",increase,"Wenn die Helligkeit des Auktionssaals zunimmt, dann nimmt das Verweilen der Sammler zu.",0
auktionssaal-cc-inverse,auktionssaal,typical,cc-inverse,die Helligkeit des Auktionssaals,das Verweilen der Sammler,"Je heller der Auktionssaal war, desto kürzer verweilten die Sammler.",decrease,"Wenn die Helligkeit des Auktionssaals zunimmt, dann nimmt das Verweilen der Sammler zu.",2
auktionssaal-ctrl-two,auktionssaal,typical,ctrl-two,die Helligkeit des Auktionssaals,das Verweilen der Sammler,Der Auktionssaal war hell. Die Sammler verweilten lange.,undetermined,"Wenn die Helligkeit des Auktionssaals zunimmt, dann nimmt das Verweilen der Sammler zu.",1
auktionssaal-ctrl-single,auktionssaal,typical,ctrl-single,die Helligkeit des Auktionssaals,das Verweilen der Sammler,Der Auktionssaal war heller als der Tresorraum.,undetermined,"Wenn die Helligkeit des Auktionssaals zunimmt, dann nimmt das Verweilen der Sammler zu.",1
boden-cc-positive,boden,typical,cc-positive,der Sandanteil des Bodens,die Häufigkeit des Gießens,"Je sandiger der Boden war, desto mehr goss der Gärtner.",increase,"Wenn der Sandanteil des Bodens zunimmt, dann nimmt die Häufigkeit des Gießens zu.",0
boden-cc-inverse,boden,typical,cc-inverse,der Sandanteil des Bodens,die Häufigkeit des Gießens,"Je sandiger der Boden war, desto weniger goss der Gärtner.",decrease,"Wenn der Sandanteil des Bodens zunimmt, dann nimmt die Häufigkeit des Gießens zu.",2
boden-ctrl-two,boden,typical,ctrl-two,der Sandanteil des Bodens,die Häufigkeit des Gießens,Der Boden war sandig. Der Gärtner goss oft.,undetermined,"Wenn der Sandanteil des Bodens zunimmt, dann nimmt die Häufigkeit des Gießens zu.",1
boden-ctrl-single,boden,typical,ctrl-single,der Sandanteil des Bodens,die Häufigkeit des Gießens,Der Boden war sandiger als das Lehmbeet.,undetermined,"Wenn der Sandanteil des Bodens zunimmt, dann nimmt die Häufigkeit des Gießens zu.",1
halle-cc-positive,halle,typical,cc-positive,die Größe der Halle,die Ausgelassenheit der Fans,"Je größer die Halle war, desto ausgelassener wurden die Fans.",increase,"Wenn die Größe der Halle zunimmt, dann nimmt die Ausgelassenheit der Fans zu.",0
halle-cc-inverse,halle,typical,cc-inverse,die Größe der Halle,die Ausgelassenheit der Fans,"Je größer die Halle war, desto gesitteter wurden die Fans.",decrease,"Wenn die Größe der Halle zunimmt, dann nimmt die Ausgelassenheit der Fans zu.",2
halle-ctrl-two,halle,typical,ctrl-two,die Größe der Halle,die Ausgelassenheit der Fans,Die Halle war groß. Die Fans waren ausgelassen.,undetermined,"Wenn die Größe der Halle zunimmt, dann nimmt die Ausgelassenheit der Fans zu.",1
halle-ctrl-single,halle,typical,ctrl-single,die Größe der Halle,die Ausgelassenheit der Fans,Die Halle war größer als der Club.,undetermined,"Wenn die Größe der Halle zunimmt, dann nimmt die Ausgelassenheit der Fans zu.",1
teetasse-cc-positive,teetasse,atypical,cc-positive,die Rundheit der Teetasse,die Länge des Staus,"Je runder die Teetasse war, desto länger wurde der Stau.",increase,"Wenn die Rundheit der Teetasse zunimmt, dann nimmt die Länge des Staus zu.",0
teetasse-cc-inverse,teetasse,atypical,cc-inverse,die Rundheit der Teetasse,die Länge des Staus,"Je runder die Teetasse war, desto kürzer wurde der Stau.",decrease,"Wenn die Rundheit der Teetasse zunimmt, dann nimmt die Länge des Staus zu.",2
teetasse-ctrl-two,teetasse,atypical,ctrl-two,die Rundheit der Teetasse,die Länge des Staus,Die Teetasse war rund. Der Stau war lang.,undetermined,"Wenn die Rundheit der Teetasse zunimmt, dann nimmt die Länge des Staus zu.",1
teetasse-ctrl-single,teetasse,atypical,ctrl-single,die Rundheit der Teetasse,die Länge des Staus,Die Teetasse war runder als die Tasse.,undetermined,"Wenn die Rundheit der Teetasse zunimmt, dann nimmt die Länge des Staus zu.",1
teppich-cc-positive,teppich,atypical,cc-positive,die Röte des Teppichs,die Geschwindigkeit des Aufzugs,"Je roter der Teppich war, desto schneller fuhr der Aufzug.",increase,"Wenn die Röte des Teppichs zunimmt, dann nimmt die Geschwindigkeit des Aufzugs zu.",0
teppich-cc-inverse,teppich,atypical,cc-inverse,die Röte des Teppichs,die Geschwindigkeit des Aufzugs,"Je roter der Teppich war, desto langsamer fuhr der Aufzug.",decrease,"Wenn die Röte des Teppichs zunimmt, dann nimmt die Geschwindigkeit des Aufzugs zu.",2
teppich-ctrl-two,teppich,atypical,ctrl-two,die Röte des Teppichs,die Geschwindigkeit des Aufzugs,Der Teppich war rot. Der Aufzug fuhr schnell.,undetermined,"Wenn die Röte des Teppichs zunimmt, dann nimmt die Geschwindigkeit des Aufzugs zu.",1
teppich-ctrl-single,teppich,atypical,ctrl-single,die Röte des Teppichs,die Geschwindigkeit des Aufzugs,Der Teppich war roter als die Vorhänge.,undetermined,"Wenn die Röte des Teppichs zunimmt, dann nimmt die Geschwindigkeit des Aufzugs zu.",1
pfannkuchen-cc-positive,pfannkuchen,atypical,cc-positive,die Lockerheit des Pfannkuchens,die Höhe des Berges,"Je lockerer der Pfannkuchen war, desto höher ragte der Berg.",increase,"Wenn die Lockerheit des Pfannkuchens zunimmt, dann nimmt die Höhe des Berges zu.",0
pfannkuchen-cc-inverse,pfannkuchen,atypical,cc-inverse,die Lockerheit des Pfannkuchens,die Höhe des Berges,"Je lockerer der Pfannkuchen war, desto niedriger ragte der Berg.",decrease,"Wenn die Lockerheit des Pfannkuchens zunimmt, dann nimmt die Höhe des Berges zu.",2
pfannkuchen-ctrl-two,pfannkuchen,atypical,ctrl-two,die Lockerheit des Pfannkuchens,die Höhe des Berges,Der Pfannkuchen war locker. Der Berg ragte hoch.,undetermined,"Wenn die Lockerheit des Pfannkuchens zunimmt, dann nimmt die Höhe des Berges zu.",1
pfannkuchen-ctrl-single,pfannkuchen,atypical,ctrl-single,die Lockerheit des Pfannkuchens,die Höhe des Berges,Der Pfannkuchen war lockerer als die Waffel.,undetermined,"Wenn die Lockerheit des Pfannkuchens zunimmt, dann nimmt die Höhe des Berges zu.",1
hefter-cc-positive,hefter,atypical,cc-positive,das Gewicht des Hefters,die Helligkeit des Sonnenuntergangs,"Je schwerer der Hefter war, desto heller brannte der Sonnenuntergang.",increase,"Wenn das Gewicht des Hefters zunimmt, dann nimmt die Helligkeit des Sonnenuntergangs zu.",0
