item_id,verb,verb_class,object_type,frame,subject,object_np,sentence,nli_hypothesis,nli_gold,fc_gold,affirm_correct
jab-atypical-transitive,jab,conative,atypical,transitive,Carlos,the mannequin,Carlos jabbed the mannequin.,Carlos made contact with the mannequin.,0,YES,1
jab-atypical-conative,jab,conative,atypical,conative,Carlos,the mannequin,Carlos jabbed at the mannequin.,Carlos made contact with the mannequin.,1,CANT_TELL,0
chop-typical-transitive,chop,conative,typical,transitive,Aisha,the log,Aisha chopped the log.,Aisha made contact with the log.,0,YES,1
chop-typical-conative,chop,conative,typical,conative,Aisha,the log,Aisha chopped at the log.,Aisha made contact with the log.,1,CANT_TELL,0
chop-atypical-transitive,chop,conative,atypical,transitive,Aisha,the sapling,Aisha chopped the sapling.,Aisha made contact with the sapling.,0,YES,1
chop-atypical-conative,chop,conative,atypical,conative,Aisha,the sapling,Aisha chopped at the sapling.,Aisha made contact with the sapling.,1,CANT_TELL,0
scratch-typical-transitive,scratch,conative,typical,transitive,Sam,the post,Sam scratched the post.,Sam made contact with the post.,0,YES,1
scratch-typical-conative,scratch,conative,typical,conative,Sam,the post,Sam scratched at the post.,Sam made contact with the post.,1,CANT_TELL,0
scratch-atypical-transitive,scratch,conative,atypical,transitive,Sam,the lectern,Sam scratched the lectern.,Sam made contact with the lectern.,0,YES,1
scratch-atypical-conative,scratch,conative,atypical,conative,Sam,the lectern,Sam scratched at the lectern.,Sam made contact with the lectern.,1,CANT_TELL,0
hack-typical-transitive,hack,conative,typical,transitive,Wei,the branch,Wei hacked the branch.,Wei made contact with the branch.,0,YES,1
hack-typical-conative,hack,conative,typical,conative,Wei,the branch,Wei hacked at the branch.,Wei made contact with the branch.,1,CANT_TELL,0
hack-atypical-transitive,hack,conative,atypical,transitive,Wei,the bramble,Wei hacked the bramble.,Wei made contact with the bramble.,0,YES,1
hack-atypical-conative,hack,conative,atypical,conative,Wei,the bramble,Wei hacked at the bramble.,Wei made contact with the bramble.,1,CANT_TELL,0
strike-typical-transitive,strike,conative,typical,transitive,Dana,the bell,Dana struck the bell.,Dana made contact with the bell.,0,YES,1
strike-typical-conative,strike,conative,typical,conative,Dana,the bell,Dana struck at the bell.,Dana made contact with the bell.,1,CANT_TELL,0
strike-atypical-transitive,strike,conative,atypical,transitive,Dana,the cymbal,Dana struck the cymbal.,Dana made contact with the cymbal.,0,YES,1
strike-atypical-conative,strike,conative,atypical,conative,Dana,the cymbal,Dana struck at the cymbal.,Dana made contact with the cymbal.,1,CANT_TELL,0
touch-control-transitive,touch,control,control,transitive,Hana,the wall,Hana touched the wall.,Hana made contact with the wall.,0,YES,1
touch-control-conative,touch,control,control,conative,Hana,the wall,Hana touched at the wall.,Hana made contact with the wall.,NA,NA,NA
kiss-control-transitive,kiss,control,control,transitive,Luca,the child,Luca kissed the child.,Luca made contact with the child.,0,YES,1
kiss-control-conative,kiss,control,control,conative,Luca,the child,Luca kissed at the child.,Luca made contact with the child.,NA,NA,NA
break-control-transitive,break,control,control,transitive,Iris,the vase,Iris broke the vase.,Iris made contact with the vase.,0,YES,1
break-control-conative,break,control,control,conative,Iris,the vase,Iris broke at the vase.,Iris made contact with the vase.,NA,NA,NA
shatter-control-transitive,shatter,control,control,transitive,Mara,the window,Mara shattered the window.,Mara made contact with the window.,0,YES,1
shatter-control-conative,shatter,control,control,conative,Mara,the window,Mara shattered at the window.,Mara made contact with the window.,NA,NA,NA
